"date","P1_B_BCap_Blos_BArr__niq","P1_B_BCap_S1los_BArr__niq","P1_B_BCap_S2los_BArr__niq","P1_B_S1Cap_Blos_BArr__niq","P1_B_S1Cap_S1los_BArr__niq","P1_B_S1Cap_S2los_BArr__niq","P1_B_BCap_Blos_S1Arr__niq","P1_B_BCap_S1los_S1Arr__niq","P1_B_BCap_S2los_S1Arr__niq","P1_B_S1Cap_Blos_S1Arr__niq","P1_B_S1Cap_S1los_S1Arr__niq","P1_B_S1Cap_S2los_S1Arr__niq","P1_NS_BCap_Blos_BArr__niq","P1_NS_BCap_S1los_BArr__niq","P1_NS_BCap_S2los_BArr__niq","P1_NS_S1Cap_Blos_BArr__niq","P1_NS_S1Cap_S1los_BArr__niq","P1_NS_S1Cap_S2los_BArr__niq","P1_NS_BCap_Blos_S1Arr__niq","P1_NS_BCap_S1los_S1Arr__niq","P1_NS_BCap_S2los_S1Arr__niq","P1_NS_S1Cap_Blos_S1Arr__niq","P1_NS_S1Cap_S1los_S1Arr__niq","P1_NS_S1Cap_S2los_S1Arr__niq","P1_SG_BCap_Blos_BArr__niq","P1_SG_BCap_S1los_BArr__niq","P1_SG_BCap_S2los_BArr__niq","P1_SG_S1Cap_Blos_BArr__niq","P1_SG_S1Cap_S1los_BArr__niq","P1_SG_S1Cap_S2los_BArr__niq","P1_SG_BCap_Blos_S1Arr__niq","P1_SG_BCap_S1los_S1Arr__niq","P1_SG_BCap_S2los_S1Arr__niq","P1_SG_S1Cap_Blos_S1Arr__niq","P1_SG_S1Cap_S1los_S1Arr__niq","P1_SG_S1Cap_S2los_S1Arr__niq","P1_B_BCap_Blos_BArr__occ","P1_B_BCap_S1los_BArr__occ","P1_B_BCap_S2los_BArr__occ","P1_B_S1Cap_Blos_BArr__occ","P1_B_S1Cap_S1los_BArr__occ","P1_B_S1Cap_S2los_BArr__occ","P1_B_BCap_Blos_S1Arr__occ","P1_B_BCap_S1los_S1Arr__occ","P1_B_BCap_S2los_S1Arr__occ","P1_B_S1Cap_Blos_S1Arr__occ","P1_B_S1Cap_S1los_S1Arr__occ","P1_B_S1Cap_S2los_S1Arr__occ","P1_NS_BCap_Blos_BArr__occ","P1_NS_BCap_S1los_BArr__occ","P1_NS_BCap_S2los_BArr__occ","P1_NS_S1Cap_Blos_BArr__occ","P1_NS_S1Cap_S1los_BArr__occ","P1_NS_S1Cap_S2los_BArr__occ","P1_NS_BCap_Blos_S1Arr__occ","P1_NS_BCap_S1los_S1Arr__occ","P1_NS_BCap_S2los_S1Arr__occ","P1_NS_S1Cap_Blos_S1Arr__occ","P1_NS_S1Cap_S1los_S1Arr__occ","P1_NS_S1Cap_S2los_S1Arr__occ","P1_SG_BCap_Blos_BArr__occ","P1_SG_BCap_S1los_BArr__occ","P1_SG_BCap_S2los_BArr__occ","P1_SG_S1Cap_Blos_BArr__occ","P1_SG_S1Cap_S1los_BArr__occ","P1_SG_S1Cap_S2los_BArr__occ","P1_SG_BCap_Blos_S1Arr__occ","P1_SG_BCap_S1los_S1Arr__occ","P1_SG_BCap_S2los_S1Arr__occ","P1_SG_S1Cap_Blos_S1Arr__occ","P1_SG_S1Cap_S1los_S1Arr__occ","P1_SG_S1Cap_S2los_S1Arr__occ","P1_B_BCap_Blos_BArr__wait","P1_B_BCap_S1los_BArr__wait","P1_B_BCap_S2los_BArr__wait","P1_B_S1Cap_Blos_BArr__wait","P1_B_S1Cap_S1los_BArr__wait","P1_B_S1Cap_S2los_BArr__wait","P1_B_BCap_Blos_S1Arr__wait","P1_B_BCap_S1los_S1Arr__wait","P1_B_BCap_S2los_S1Arr__wait","P1_B_S1Cap_Blos_S1Arr__wait","P1_B_S1Cap_S1los_S1Arr__wait","P1_B_S1Cap_S2los_S1Arr__wait","P1_NS_BCap_Blos_BArr__wait","P1_NS_BCap_S1los_BArr__wait","P1_NS_BCap_S2los_BArr__wait","P1_NS_S1Cap_Blos_BArr__wait","P1_NS_S1Cap_S1los_BArr__wait","P1_NS_S1Cap_S2los_BArr__wait","P1_NS_BCap_Blos_S1Arr__wait","P1_NS_BCap_S1los_S1Arr__wait","P1_NS_BCap_S2los_S1Arr__wait","P1_NS_S1Cap_Blos_S1Arr__wait","P1_NS_S1Cap_S1los_S1Arr__wait","P1_NS_S1Cap_S2los_S1Arr__wait","P1_SG_BCap_Blos_BArr__wait","P1_SG_BCap_S1los_BArr__wait","P1_SG_BCap_S2los_BArr__wait","P1_SG_S1Cap_Blos_BArr__wait","P1_SG_S1Cap_S1los_BArr__wait","P1_SG_S1Cap_S2los_BArr__wait","P1_SG_BCap_Blos_S1Arr__wait","P1_SG_BCap_S1los_S1Arr__wait","P1_SG_BCap_S2los_S1Arr__wait","P1_SG_S1Cap_Blos_S1Arr__wait","P1_SG_S1Cap_S1los_S1Arr__wait","P1_SG_S1Cap_S2los_S1Arr__wait","P1_B_BCap_Blos_BArr__cost","P1_B_BCap_S1los_BArr__cost","P1_B_BCap_S2los_BArr__cost","P1_B_S1Cap_Blos_BArr__cost","P1_B_S1Cap_S1los_BArr__cost","P1_B_S1Cap_S2los_BArr__cost","P1_B_BCap_Blos_S1Arr__cost","P1_B_BCap_S1los_S1Arr__cost","P1_B_BCap_S2los_S1Arr__cost","P1_B_S1Cap_Blos_S1Arr__cost","P1_B_S1Cap_S1los_S1Arr__cost","P1_B_S1Cap_S2los_S1Arr__cost","P1_NS_BCap_Blos_BArr__cost","P1_NS_BCap_S1los_BArr__cost","P1_NS_BCap_S2los_BArr__cost","P1_NS_S1Cap_Blos_BArr__cost","P1_NS_S1Cap_S1los_BArr__cost","P1_NS_S1Cap_S2los_BArr__cost","P1_NS_BCap_Blos_S1Arr__cost","P1_NS_BCap_S1los_S1Arr__cost","P1_NS_BCap_S2los_S1Arr__cost","P1_NS_S1Cap_Blos_S1Arr__cost","P1_NS_S1Cap_S1los_S1Arr__cost","P1_NS_S1Cap_S2los_S1Arr__cost","P1_SG_BCap_Blos_BArr__cost","P1_SG_BCap_S1los_BArr__cost","P1_SG_BCap_S2los_BArr__cost","P1_SG_S1Cap_Blos_BArr__cost","P1_SG_S1Cap_S1los_BArr__cost","P1_SG_S1Cap_S2los_BArr__cost","P1_SG_BCap_Blos_S1Arr__cost","P1_SG_BCap_S1los_S1Arr__cost","P1_SG_BCap_S2los_S1Arr__cost","P1_SG_S1Cap_Blos_S1Arr__cost","P1_SG_S1Cap_S1los_S1Arr__cost","P1_SG_S1Cap_S2los_S1Arr__cost"
2023-01-01,46.96,50,47.94,0,0,0,47.34,50.18,48.2,0,0,0,55.56,59.16,57.76,0,0,0,55.52,59.12,57.68,0,0,0,51.48,52.88,52.02,0,0,0,51.48,52.88,52.02,0,0,0,91.816,91.952,91.896,164.512,168.984,166.264,91.816,91.952,91.896,165.088,169.272,166.68,70.68,70.72,70.688,157.32,162.168,159.696,70.68,70.72,70.688,157.256,162.096,159.576,70.744,70.72,70.728,150.256,152.224,150.8,70.744,70.72,70.728,150.256,152.224,150.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44940.66,46035,45304.74,51410,52807.5,51957.5,45072.14,46097.28,45394.7,51590,52897.5,52087.5,41311.26,42569.36,42074.96,49162.5,50677.5,49905,41297.42,42555.52,42047.28,49142.5,50655,49867.5,39919.58,40396.48,40101.42,46955,47570,47125,39919.58,40396.48,40101.42,46955,47570,47125
2023-01-02,32.66,26.04,29.12,0,0,0,33.08,26.2,29.52,0,0,0,35.74,29.94,33.12,0,0,0,35.58,29.84,32.98,0,0,0,31.44,29.34,30.84,0,0,0,31.48,29.4,30.92,0,0,0,91.728,91.664,91.792,130.208,105.52,119.952,91.728,91.664,91.792,130.592,105.72,120.384,70.44,70.576,70.552,99.896,70.512,87.096,70.44,70.576,70.552,99.648,70.408,86.96,70.536,70.56,70.512,94.04,84.824,90.496,70.536,70.56,70.512,94.104,84.912,90.616,0.0593023255813954,0.17992277992278,0.0958772770853308,0,0,0,0.0593023255813954,0.17992277992278,0.0958772770853308,0,0,0,0.149522799575822,0.37410071942446,0.256679389312977,0,0,0,0.149522799575822,0.37410071942446,0.256679389312977,0,0,0,0.143164693218515,0.230046948356808,0.185770750988142,0,0,0,0.143164693218515,0.230046948356808,0.185770750988142,0,0,0,39965.36,37654.84,38760.52,40690,32975,37485,40110.68,37710.2,38898.92,40810,33037.5,37620,34378.54,32414.24,33507.02,31217.5,22035,27217.5,34323.18,32379.64,33458.58,31140,22002.5,27175,32920.74,32201.64,32705.64,29387.5,26507.5,28280,32934.58,32222.4,32733.32,29407.5,26535,28317.5
2023-01-03,26.54,11.72,19.9,0,0,0,27.04,11.86,19.74,0,0,0,25,12.38,19.96,0,0,0,24.56,12.12,19.78,0,0,0,21.86,17.42,19.82,0,0,0,21.78,17.34,19.84,0,0,0,91.632,91.528,91.632,114.16,82.16,100.128,91.632,91.624,91.672,114.752,82.36,99.776,70.52,70.376,70.52,78.824,50.264,66.52,70.52,70.408,70.52,78.184,50.024,66.312,70.544,70.44,70.528,74.384,65.536,70.688,70.52,70.44,70.528,74.168,65.36,70.664,0.238429172510519,0.498374864572048,0.327909887359199,0,0,0,0.238429172510519,0.501084598698482,0.327909887359199,0,0,0,0.49779086892489,0.932168550873587,0.656716417910448,0,0,0,0.49779086892489,0.932168550873587,0.656716417910448,0,0,0,0.510174418604651,0.591989987484355,0.567496723460026,0,0,0,0.510174418604651,0.591989987484355,0.567496723460026,0,0,0,37817.84,32657.62,35520.4,35675,25675,31290,37990.84,32736.06,35477.54,35860,25737.5,31180,30687.5,26275.98,28943.66,24632.5,15707.5,20787.5,30535.26,26196.02,28881.38,24432.5,15632.5,20722.5,29608.56,28039.82,28897.72,23245,20480,22090,29573.38,28012.14,28904.64,23177.5,20425,22082.5
2023-01-04,24.56,5.52,16.36,0,0,0,25.02,5.28,16.08,0,0,0,20.6,2.62,12.34,0,0,0,20.14,1.94,12.24,0,0,0,17.66,11.54,14.44,0,0,0,17.82,11.76,15.04,0,0,0,91.696,89.352,91.464,108.52,75.736,93.68,91.68,89.68,91.648,108.72,75.48,93.672,70.48,66.616,70.16,72.328,44.528,58.776,70.48,66.296,70.144,71.808,43.448,58.624,70.512,69.88,70.328,68.824,59.504,64.456,70.504,69.896,70.4,69.048,59.816,65.32,0.462897526501767,0.7018779342723,0.590322580645161,0,0,0,0.462897526501767,0.691685912240185,0.586038961038961,0,0,0,0.941176470588235,1.17010935601458,1.16400580551524,0,0,0,0.941176470588235,1.16768665850673,1.16690856313498,0,0,0,0.933726067746686,1.09066305818674,1.01575931232092,0,0,0,0.936578171091445,1.09375,1.01573676680973,0,0,0,37152.76,29832.42,34243.06,33912.5,23667.5,29275,37306.92,29851.88,34203.68,33975,23587.5,29272.5,29152.6,21724.02,26194.64,22602.5,13915,18367.5,28993.44,21388.74,26155.04,22440,13577.5,18320,28145.36,25830.34,26973.74,21507.5,18595,20142.5,28198.22,25911.46,27203.84,21577.5,18692.5,20412.5
2023-01-05,23.3,1.32,13,0,0,0,24.76,1.06,13.12,0,0,0,15.74,0.28,6.24,0,0,0,15.24,0.18,6.24,0,0,0,13.3,6.44,9.9,0,0,0,13.86,7.04,11.22,0,0,0,91.656,83.416,91.536,103.312,67.96,88.544,91.624,83.376,91.464,105.216,67.6,89.064,70.328,53.512,68.536,65.128,38.208,53.368,70.336,52.872,68.2,64.576,37.984,53.04,70.256,67.672,69.536,64.104,54.112,59.504,70.392,67.664,69.544,65,55.072,61.24,0.667976424361493,0.753512132822478,0.850609756097561,0,0,0,0.656804733727811,0.75031847133758,0.842835130970724,0,0,0,1.35376532399299,1.08844507845934,1.38045112781955,0,0,0,1.35387323943662,1.07112375533428,1.3710407239819,0,0,0,1.24698795180723,1.11373707533235,1.19354838709677,0,0,0,1.24474474474474,1.11929307805596,1.19323671497585,0,0,0,36704.3,26524.22,33103,32285,21237.5,27670,37199.46,26421.76,33122.02,32880,21125,27832.5,27423.54,16819.38,23576.54,20352.5,11940,16677.5,27253.04,16584.78,23471.54,20180,11870,16575,26556.8,23375.74,25155.4,20032.5,16910,18595,26793.06,23580.84,25614.62,20312.5,17210,19137.5
2023-01-06,24.36,0.48,11.9,0,0,0,25.4,0.24,11.7,0,0,0,11.44,0,2.82,0,0,0,11.26,0,2.96,0,0,0,11.56,3.5,7.6,0,0,0,11.86,4.62,9.1,0,0,0,91.736,79.576,91.16,103.504,67.984,88.416,91.728,78.36,91.216,104.496,66.336,88.208,70.088,44.824,63.336,60.464,35.088,48.968,69.992,44.448,63.448,60.352,35.072,49.32,69.624,65.536,68.824,63.152,53.008,59.432,70.016,65.928,68.96,63.248,54.584,60.968,0.978260869565217,0.762237762237762,0.938411669367909,0,0,0,0.986813186813187,0.763888888888889,0.941841680129241,0,0,0,1.51260504201681,0.925249169435216,1.26161790017212,0,0,0,1.50104384133612,0.903654485049834,1.24789207419899,0,0,0,1.29422718808194,1.15857605177994,1.20282186948854,0,0,0,1.30091743119266,1.16883116883117,1.21777003484321,0,0,0,37096.06,25033.58,32604.9,32345,21245,27630,37453.4,24570.54,32553.2,32655,20730,27565,25860.74,14007.5,20768.22,18895,10965,15302.5,25768.46,13890,20851.66,18860,10960,15412.5,25757.26,21691,24137.1,19735,16565,18572.5,25983.56,22201.02,24698.6,19765,17057.5,19052.5
2023-01-07,27.44,0.26,11.8,0,0,0,28.36,0.22,12.24,0,0,0,7.36,0,0.84,0,0,0,7.72,0,1.08,0,0,0,9.58,2.24,5.56,0,0,0,10.02,2.86,6.92,0,0,0,91.752,79.424,91.16,107.056,70.376,89.048,91.712,77.04,91.392,107.664,68.168,90.552,68.832,36.44,57.584,55.816,30.016,44.624,69.056,36.968,58.008,56.968,30.752,45.272,68.808,62.152,67.088,61.144,50.824,57.008,69.32,63.104,67.744,61.968,51.872,58.672,1.17341040462428,0.628246753246753,1.05851979345955,0,0,0,1.2007722007722,0.643926788685524,1.04974271012007,0,0,0,1.75599128540305,0.756,1.14457831325301,0,0,0,1.71641791044776,0.760416666666667,1.12549019607843,0,0,0,1.36454183266932,1.04152249134948,1.17883211678832,0,0,0,1.35477582846004,1.06837606837607,1.16666666666667,0,0,0,38166.74,24909.96,32570.3,33455,21992.5,27827.5,38472.56,24151.12,32795.04,33645,21302.5,28297.5,24056.56,11387.5,18285.64,17442.5,9380,13945,24251.12,11552.5,18501.18,17802.5,9610,14147.5,24817.18,20197.54,22888.76,19107.5,15882.5,17815,25129.42,20709.56,23564.32,19365,16210,18335
2023-01-08,21.2,0,5.74,0,0,0,22.14,0,6.7,0,0,0,2.28,0,0.08,0,0,0,2.44,0,0.1,0,0,0,4.92,0.6,2.34,0,0,0,4.78,0.74,2.58,0,0,0,91.608,64.808,88.6,95.816,57.664,77.12,91.616,63.72,88.432,96.464,56.824,78.864,64.64,26.832,47.048,47.832,22.472,36.616,64.472,26.416,47.216,47.72,22.144,36.632,64.648,51.368,59.424,51.96,40.848,47.016,65.568,52.64,61.56,52.376,41.672,48.408,1.53596287703016,0.593247588424437,1.10200364298725,0,0,0,1.56944444444444,0.598347107438017,1.06309751434034,0,0,0,1.69953051643192,0.63254593175853,1.19004524886878,0,0,0,1.66436781609195,0.638814016172507,1.17429193899782,0,0,0,1.3314606741573,0.936479128856624,1.15217391304348,0,0,0,1.33090909090909,0.96316758747698,1.19175627240143,0,0,0,35962.7,20252.5,29673.54,29942.5,18020,24100,36290.44,19912.5,29953.2,30145,17757.5,24645,20988.88,8385,14730.18,14947.5,7022.5,11442.5,20991.74,8255,14789.6,14912.5,6920,11447.5,21904.82,16260.1,19379.64,16237.5,12765,14692.5,22143.88,16706.04,20130.18,16367.5,13022.5,15127.5
2023-01-09,15.68,0,1.74,0,0,0,16.58,0,2.56,0,0,0,0.24,0,0,0,0,0,0.28,0,0,0,0,0,1.6,0.08,0.54,0,0,0,1.46,0.12,0.68,0,0,0,90.968,53.776,81.408,86.432,48.312,66.976,91.504,52.68,82.072,87.112,47.312,68.688,54.88,19.432,37.224,39.472,16.032,29.56,54.392,19.128,36.744,38.808,15.76,29.008,55.56,39.904,49.024,41.584,31.816,37.224,56.608,41.512,51.2,42.304,32.872,38.6,1.50655021834061,0.575936883629191,1.09181636726547,0,0,0,1.56739130434783,0.586558044806517,1.0523138832998,0,0,0,1.73165137614679,0.694158075601375,1.14835164835165,0,0,0,1.70786516853933,0.684931506849315,1.15469613259669,0,0,0,1.38104838709677,0.959910913140312,1.1917211328976,0,0,0,1.4120082815735,0.974137931034483,1.23010752688172,0,0,0,33852.78,16805,26042.04,27010,15097.5,20930,34331.68,16462.5,26533.26,27222.5,14785,21465,17233.04,6072.5,11632.5,12335,5010,9237.5,17094.38,5977.5,11482.5,12127.5,4925,9065,17916.1,12497.68,15506.84,12995,9942.5,11632.5,18195.16,13014.02,16235.28,13220,10272.5,12062.5
2023-01-10,13.78,0,1.22,0,0,0,14.56,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.16,0,0,0,0.7,0,0.24,0,0,0,90.52,53.032,77.032,84.488,49.008,64.824,91.2,51.632,78.768,85.464,47.704,66.632,51.832,20.192,35.848,39.84,17.864,30.136,51.472,20.12,35.704,39.464,17.848,30.088,52.016,38.384,45.688,40.992,32.688,36.744,54.056,39.392,48.264,42.816,33.312,38.488,1.69417475728155,0.475583864118896,1.07628865979381,0,0,0,1.72300469483568,0.497757847533632,1.09302325581395,0,0,0,1.55807365439093,0.614754098360656,0.978395061728395,0,0,0,1.50552486187845,0.609053497942387,0.951219512195122,0,0,0,1.31678486997636,0.846347607052897,1.06724511930586,0,0,0,1.31336405529954,0.876923076923077,1.13695652173913,0,0,0,33055.38,16572.5,24494.62,26402.5,15315,20257.5,33537.76,16135,25230.88,26707.5,14907.5,20822.5,16197.5,6310,11202.5,12450,5582.5,9417.5,16085,6287.5,11157.5,12332.5,5577.5,9402.5,16531.8,11995,14332.86,12810,10215,11482.5,17134.7,12310,15165.54,13380,10410,12027.5
