"node","time","measure","q05","q5","q95","mean","q10","q25","q75","q90","q025","q975","capacity","node_name"
1,0,"niq",31,31,31,31,31,31,31,31,31,31,102,"P2_B_BCap_Blos_S1Arr"
1,0,"occ",97,98,99.1407647954476,97.9229009745521,97,97,98.4214001362591,98.7319864706927,97,99.4457987316196,102,"P2_B_BCap_Blos_S1Arr"
1,1,"niq",28.5552765674055,29.6249374784479,30.7702899102813,29.0819942249425,28.868614137359,29.3149712973425,30.1515314123284,30.4845250570329,27.7850087717203,30.9159094673834,102,"P2_B_BCap_Blos_S1Arr"
1,1,"occ",97,98.360653554249,100.40925350051,96.5802348558754,97.057979493647,98,99.0017240257881,100,97,101.002420634764,102,"P2_B_BCap_Blos_S1Arr"
1,2,"niq",22.7844053273141,26.139966379641,29.690055883162,26.2313826059702,23.893748553817,25.0966527483032,27.5667889828249,29.2966495680001,21.351846482148,30.2556693360561,102,"P2_B_BCap_Blos_S1Arr"
1,2,"occ",97.3255187740204,99.8368776268929,102,99.7960946608807,97.9909976593241,98.9824266603857,101,101.978165393437,97.312801398162,102,102,"P2_B_BCap_Blos_S1Arr"
1,3,"niq",19.0724510526685,22.8643341837861,27.6258441919877,22.953854892004,19.5803974782378,21.2318741414147,24.7148825045369,26.4428033827102,17.8184530385825,28.0324858912901,102,"P2_B_BCap_Blos_S1Arr"
1,3,"occ",99,101.754704145748,102,101.135214434312,99.305975828623,100.23664165681,102,102,98.7533396249014,102,102,"P2_B_BCap_Blos_S1Arr"
1,4,"niq",15.6631340167408,21.559564837467,27.7334994265118,21.6301946775815,16.3955405893625,18.8155371670132,24.4821852988489,27.068617391469,15.2016252282706,28.2054759662819,102,"P2_B_BCap_Blos_S1Arr"
1,4,"occ",101.068018744321,102,102,101.856227273499,102,102,102,102,99.6272336650866,102,102,"P2_B_BCap_Blos_S1Arr"
1,5,"niq",13.0177887794874,19.7070270699767,28.2455085800206,20.2833048530825,14.8548001489278,17.9280954312708,22.7348390163582,27.0480059980463,12.2201259015372,28.8218260416497,102,"P2_B_BCap_Blos_S1Arr"
1,5,"occ",102,102,102,101.981211902795,102,102,102,102,102,102,102,"P2_B_BCap_Blos_S1Arr"
1,6,"niq",11.2903833913745,19.4238808505486,28.4829829721632,19.3767980652,11.9781230856315,15.007932080031,23.5493328828763,27.26472987137,10.1980202181386,29.7897437965216,102,"P2_B_BCap_Blos_S1Arr"
1,6,"occ",102,102,102,102,102,102,102,102,102,102,102,"P2_B_BCap_Blos_S1Arr"
1,7,"niq",6.77727885783842,18.1390816202514,29.0797448534743,18.4566761041368,9.60446871343974,13.5713810302503,22.8484355890365,28.1608403806388,6.18423015802296,30.7649686012454,102,"P2_B_BCap_Blos_S1Arr"
1,7,"occ",102,102,102,102,102,102,102,102,102,102,102,"P2_B_BCap_Blos_S1Arr"
1,8,"niq",4.08210434146348,16.492541127485,28.4291476637703,15.8815600493177,4.61696471366526,10.8814031114339,19.775626237861,25.7782465546787,3.34740023587972,30.0770706754895,102,"P2_B_BCap_Blos_S1Arr"
1,8,"occ",102,102,102,102,102,102,102,102,102,102,102,"P2_B_BCap_Blos_S1Arr"
1,9,"niq",1.92173797639051,14.8720254165942,26.2679009879582,14.2905634161316,4.22192703753578,9.82291267224232,18.2066094258944,24.1766142738008,0.392095869143809,27.023223920955,102,"P2_B_BCap_Blos_S1Arr"
1,9,"occ",102,102,102,101.984735809717,102,102,102,102,101.928890470231,102,102,"P2_B_BCap_Blos_S1Arr"
1,10,"niq",0.627440201574281,13.7873248909237,26.7647235699575,13.3287397501415,2.99625014090235,7.33099444223622,17.7540464826937,23.6454739845686,0.037678528710899,27.0010279429898,102,"P2_B_BCap_Blos_S1Arr"
1,10,"occ",101.989586387517,102,102,101.898831153636,102,102,102,102,101.016809766269,102,102,"P2_B_BCap_Blos_S1Arr"
1,11,"niq",0.989809044652297,13.0079493557532,26.9035089614626,13.0354563229818,2.65639793135743,5.53163086370662,19.2048026758382,25.125636209808,0.0280754162289549,27.8801585616038,102,"P2_B_BCap_Blos_S1Arr"
1,11,"occ",101.911369496793,102,102,101.956007530113,102,102,102,102,101.282637480667,102,102,"P2_B_BCap_Blos_S1Arr"
