"day","node","q05","q5","q95","mean","q10","q25","q75","q90","q025","q975","measure","date"
1,"P1_B_BCap_Blos_BArr",41.45,46,53,46.96,42,45,49.75,51.1,41,55.325,"niq",2023-01-01
2,"P1_B_BCap_Blos_BArr",27.45,32,40,32.66,28,30,34,37,27,40.775,"niq",2023-01-02
3,"P1_B_BCap_Blos_BArr",20,26,38.55,26.54,21,23,28,34.1,19.225,39.775,"niq",2023-01-03
4,"P1_B_BCap_Blos_BArr",13.45,24,35,24.56,17.8,20.25,29,34,11.45,35.775,"niq",2023-01-04
5,"P1_B_BCap_Blos_BArr",12,22,32.55,23.3,13.9,19,29.5,31.1,10.45,33.775,"niq",2023-01-05
6,"P1_B_BCap_Blos_BArr",10.8,24,35.55,24.36,14.9,20,30,34.1,9,36,"niq",2023-01-06
7,"P1_B_BCap_Blos_BArr",11.8,27.5,41,27.44,15.9,23,32.75,40,9.225,41.775,"niq",2023-01-07
8,"P1_B_BCap_Blos_BArr",4.45,21.5,36.55,21.2,6,16.25,27.5,32.2,3.225,38.55,"niq",2023-01-08
9,"P1_B_BCap_Blos_BArr",0,15.5,29.55,15.68,0.9,11,20,28.1,0,35.425,"niq",2023-01-09
10,"P1_B_BCap_Blos_BArr",0,14,27.65,13.78,0,8,20,23.1,0,32.1,"niq",2023-01-10
11,"P1_B_BCap_Blos_BArr",0,16,31.55,15.62,1.8,8.5,21,29.1,0,35.875,"niq",2023-01-11
12,"P1_B_BCap_Blos_BArr",0,16,30.55,15.34,0,8,21,27.2,0,35.65,"niq",2023-01-12
13,"P1_B_BCap_Blos_BArr",0,17.5,38,17.3,0,10.25,22.75,28,0,40.325,"niq",2023-01-13
14,"P1_B_BCap_Blos_BArr",1.35,23,39.2,22.08,7,17,28,34.2,0,45.65,"niq",2023-01-14
15,"P1_B_BCap_Blos_BArr",0,17,33.65,17.32,0,11.25,23,28.3,0,41.2,"niq",2023-01-15
16,"P1_B_BCap_Blos_BArr",0,11.5,30.1,12.76,0,6,19.75,23.4,0,37.975,"niq",2023-01-16
17,"P1_B_BCap_Blos_BArr",0,9,28.55,11.96,0,4.25,19,24.1,0,39.85,"niq",2023-01-17
